PUERTO_ID,PUERTO,SECUENCIA,ESTADO_SECUENCIA,BUQUE,F_ENTRADA,H_ENTRADA,F_SALIDA,H_SALIDA,ORIGEN,DESTINO,MUELLE,CONSIG,CONSIG_CIF,COD_TIPO_ATRAQUE,DESC_TIPO_ATRAQUE,CALADOENTRADA,CALADOSALIDA,FECCONSTRUCCION,IMO,CALLSIGN,ESLORA,MANGA,PUNTAL,ALTURAARBOLADURA,POTENCIA,VELCRUCERO,VELMAXIMA,GT,BANDERA,NORAYINI,NORAYFIN
"T","S/C DE TENERIFE","T-2020-187-1","Aceptada","CELEBRITY SILHOUETTE","02/10/2020","11:00","02/10/2020","20:00","FUNCHAL, MADEIRA","LA LUZ  Y  LAS PALMAS","SUR AL 3 (-)","BERGE MARITIMA S.L.","B95524898","AXM","Atracado  al muelle                ","8,00","8,00","01/07/2011","9451094","9HA2583","315,00","36,00","11,00","0,00","91.364,00","0,00","0,00","122.210,000","MALTA       ","",""
"G","S/S DE LA GOMERA","G-2020-624-1","Aceptada","SILVER SPIRIT","29/09/2020","09:00","29/09/2020","18:00","Santa Cruz de Tenerife","Santa Cruz de la Palma","DIQUE 3ª ALIN. (-)","FRED OLSEN, S.A.","A38010567","AXX","Atracado                           ","4,20","4,20","01/01/2009","9437866","C6XU6","210,70","26,50","11,50","0,00","26.100,00","20,30","0,00","39.444,000","BAHAMAS","",""
"P","S/C DE LA PALMA","P-2020-179-1","Aceptada","SIRENA","07/10/2020","09:00","07/10/2020","19:00","FUNCHAL, MADEIRA","Santa Cruz de Tenerife","DIQUE ESTE 2 ALIN. (-)","JUAN CABRERA MARTIN S.A.","A38000246","ABM","Atracado babor al muelle","5,80","5,80","01/01/1999","9187899","V7RX6","168,00","25,00","0,00","0,00","0,00","0,00","0,00","30.277,000","ISLAS MARSHALL","",""
"T","S/C DE TENERIFE","T-2020-3529-5","Aceptada","AIDANOVA","17/07/2020","07:01","17/07/2020","18:00","Santa Cruz de Tenerife","A Órdenes","RIBERA AL 2 (-)","A. PEREZ Y CIA, S.L.","B39003777","AXM","Atracado  al muelle                ","8,60","8,60","","9781865","IBUK","337,00","42,00","61,00","0,00","0,00","0,00","0,00","183.858,000","ITALIA      ","",""
"T","S/C DE TENERIFE","T-2020-3529-7","Aceptada","AIDANOVA","31/07/2020","07:01","31/07/2020","18:00","Santa Cruz de Tenerife","A Órdenes","RIBERA AL 2 (-)","A. PEREZ Y CIA, S.L.","B39003777","AXM","Atracado  al muelle                ","8,60","8,60","","9781865","IBUK","337,00","42,00","61,00","0,00","0,00","0,00","0,00","183.858,000","ITALIA      ","",""
"T","S/C DE TENERIFE","T-2020-3529-6","Aceptada","AIDANOVA","17/07/2020","18:01","31/07/2020","07:00","Santa Cruz de Tenerife","A Órdenes","ZONA DE FONDEO 2 (-)","A. PEREZ Y CIA, S.L.","B39003777","AXM","Atracado  al muelle                ","8,60","8,60","","9781865","IBUK","337,00","42,00","61,00","0,00","0,00","0,00","0,00","183.858,000","ITALIA      ","",""
"T","S/C DE TENERIFE","T-2020-290-1","Aceptada","COSTA FAVOLOSA","25/09/2020","07:00","25/09/2020","17:00","ARRECIFE DE LANZAROTE","FUNCHAL, MADEIRA","RIBERA AL 2 (-)","A. PEREZ Y CIA, S.L.","B39003777","AXM","Atracado  al muelle                ","8,30","8,30","01/01/2011","9479852","ICPK","290,00","43,00","11,00","0,00","0,00","0,00","0,00","113.307,000","ITALIA      ","",""
"T","S/C DE TENERIFE","T-2020-291-1","Aceptada","COSTA FAVOLOSA","06/10/2020","07:00","06/10/2020","17:00","ARRECIFE DE LANZAROTE","FUNCHAL, MADEIRA","RIBERA AL 2 (-)","A. PEREZ Y CIA, S.L.","B39003777","AXM","Atracado  al muelle                ","8,30","8,30","01/01/2011","9479852","ICPK","290,00","43,00","11,00","0,00","0,00","0,00","0,00","113.307,000","ITALIA      ","",""
"T","S/C DE TENERIFE","T-2020-3510-5","Aceptada","COSTA FASCINOSA","27/07/2020","07:01","27/07/2020","18:00","SANTOS","A Órdenes","RIBERA AL 2 (-)","A. PEREZ Y CIA, S.L.","B39003777","AXM","Atracado  al muelle                ","8,60","8,60","01/01/2012","9479864","ICPO","290,00","36,00","0,00","0,00","0,00","0,00","0,00","113.321,000","ITALIA      ","",""
"T","S/C DE TENERIFE","T-2020-3510-3","Aceptada","COSTA FASCINOSA","13/07/2020","07:01","13/07/2020","18:30","SANTOS","A Órdenes","RIBERA AL 2 (-)","A. PEREZ Y CIA, S.L.","B39003777","APM","Atracado de punta al muelle        ","8,60","8,60","01/01/2012","9479864","ICPO","290,00","36,00","0,00","0,00","0,00","0,00","0,00","113.321,000","ITALIA      ","",""
